State,Country,Place,type,budget,season,activities,latitude,longitude,display_name,importance
Assam,India,Kaziranga National Park,national park,high,All,nature,26.6581046,93.3927441,,
Assam,India,Umananda Island,island,low,All,"sightseeing, photography",26.1964855,91.7449949,,
Assam,India,Manas National Park,national park,high,All,"nature, photography",26.7227946,90.977888,,
Assam,India,Hayagriva Madhava Temple,temple,low,All,"sightseeing, photography",26.2429185,91.526535,,
Assam,India,Pobitora Wildlife Sanctuary,wildlife sanctuary,high,All,"sightseeing, photography",26.2594006,91.984768,,
Tripura,India,Ujjayanta Palace,palace,medium,All,"sightseeing, photography",23.8369868,91.2827507,,
Tripura,India,Dumboor Lake,lake,low,All,"sightseeing, photography",23.4736314,91.8381882,,
Nagaland,India,Dzükou Valley,valley,low,All,"sightseeing, photography",25.5514981,94.1215991,,
Puducherry,India,Promenade Beach,beach,low,All,"beach activities, photography",11.9321674,79.8360554,,
Puducherry,India,Auroville,township,low,All,"sightseeing, photography",11.9356995,79.8320475,,
Puducherry,India,Paradise Beach,beach,high,All,"beach activities, photography",11.869834,79.8198877,,
Andaman and Nicobar Islands,India,Cellular Jail,landmark,medium,All,"sightseeing, photography",11.6744456,92.7477856,,
Andaman and Nicobar Islands,India,Radhanagar Beach,beach,low,All,"beach activities, photography",11.9826676,92.9570783,,
Andaman and Nicobar Islands,India,Bharatpur Beach,beach,low,All,"beach activities, photography",11.8379008,93.0296445,,
Daman and Diu,India,Naida Caves,cave,low,All,"sightseeing, photography",20.7109607,70.980783,,
Daman and Diu,India,Diu Fort,fort,low,All,"sightseeing, photography",20.4148865,72.8334609,,
Jharkhand,India,Pahari Mandir,temple,low,All,"sightseeing, photography",23.3781129,85.3119723,,
Bihar,India,Mahabodhi Temple,temple,low,All,"sightseeing, photography",24.6959302,84.9913903,,
Haryana,India,Kingdom of Dreams,entertainment,high,All,"sightseeing, photography",28.4681299,77.0691264,,
Haryana,India,Ambience Mall,mall,low,All,"sightseeing, photography",28.5042583,77.0972049,,
Delhi,India,Gurudwara Bangla Sahib,gurudwara,low,All,"sightseeing, photography",28.62523,77.2094194,,
Uttar Pradesh,India,DLF Mall of India,mall,low,All,"sightseeing, photography",28.5674442,77.321124,,
Uttar Pradesh,India,The Grand Venice Mall,mall,low,All,"sightseeing, photography",28.4526337,77.5262656,,
Odisha,India,Nandankanan Zoological Park,zoo,medium,All,"sightseeing, photography",20.3977335,85.8138633,,
Karnataka,India,Orion Mall,mall,low,All,"sightseeing, photography",13.0109788,77.5552238,,
Telangana,India,Inorbit Mall Cyberabad,mall,low,All,"sightseeing, photography",17.4345546,78.3866982,,
Delhi,India,Jama Masjid,mosque,low,All,"sightseeing, photography",28.6506822,77.232961,,
Uttar Pradesh,India,Buddh International Circuit,race track,high,All,"sightseeing, photography",28.3492531,77.537005,,
Uttar Pradesh,India,Phoenix Palassio,mall,low,All,"sightseeing, photography",26.8087716,81.0127929,,
Kerala,India,LuLu International Shopping Mall,mall,low,All,"sightseeing, photography",10.0272184,76.3078873,,
Delhi,India,Rail Museum,museum,medium,All,"sightseeing, photography",28.5848051,77.1808485,,
Meghalaya,India,Living Root Bridge,natural feature,low,All,"sightseeing, photography",25.2130828,91.676736,,
Gujarat,India,Akshardham,temple,low,All,sightseeing,22.2807987,70.771594,,
Uttar Pradesh,India,Agra Fort,fort,medium,All,"sightseeing, photography",27.1798258,78.0208223,,
Rajasthan,India,Albert Hall Museum,museum,high,All,"sightseeing, photography",26.9117053,75.8194973,,
Maharastra,India,Elephanta Caves,monument,high,All ,"sightseeing, photography",18.9630478,72.931902,,
Punjab,India,Rock Garden,sculpture garden,medium,All,"sightseeing, photography",30.7531959,76.8066302,,
Karnataka,India,Halebidu Hoysaleswara Temple,temple,medium,All,sightseeing,13.2124476,75.9942568,,
Maharashtra,India,Kaas Plateau,valley,high,Afternoon,"sightseeing, photography",51.8553033,4.3165089,,
Madhya Pradesh,India,Sanchi Stupa,monument,medium,Afternoon,"sightseeing, photography",23.48064,77.7362685,,
Madhya Pradesh,India,Bee Falls,waterfall,medium,All,"sightseeing, photography",34.9744379,-83.0524277,,
Madhya Pradesh,India,Jahaz Mahal,site,medium,Afternoon,"sightseeing, photography",28.5144248,77.1786639,,
Himachal Pradesh,India,Key Monastery,monastery,low,All,"sightseeing, photography",35.6982345,139.7650281,,
Himachal Pradesh,India,Tea Gardens,tea plantation,low,All,"sightseeing, photography",-32.6622727,152.155692,,
Himachal Pradesh,India,Hatu Peak,viewpoint,low,All,"sightseeing, photography",-5.0551,120.065,,
Uttarakhand,India,Auli Ski Resort,ski resort,low,All,"sightseeing, photography",30.5487026,79.5737933,,
Uttar Pradesh,India,Banke Bihari Temple,temple,low,All,sightseeing,22.7180149,75.855234,,
Ladakh,India,Pangong Tso,lake,medium,All,"sightseeing, photography",33.6850323,78.720047,,
Ladakh,India,Hemis National Park,national park,medium,All,"nature, photography",33.6639158,77.3504137,,
Ladakh,India,Khardung La Pass,hill,low,Afternoon,"sightseeing, photography",34.2786625,77.6046891,,
Uttar Pradesh,India,Kirti Mandir,memorial,low,All,"sightseeing, photography",21.6413358,69.601032,,
Uttar Pradesh,India,Nand Gaon,village,low,All,"sightseeing, photography",23.2309668,82.1334207,,
Uttar Pradesh,India,Barsana Mandir,temple,low,All,"sightseeing, photography",27.6501367,77.3731338,,
Odisha,India,Sun Temple,temple,medium,All,"sightseeing, photography",29.6323214,79.6145631,,
Andhra Pradesh,India,War Memorial,war memorial,low,All,"sightseeing, photography",8.5055058,76.978963,,
Sikkim,India,Pemayangtse Monastery,monastery,medium,All,sightseeing,27.3053629,88.2514508,,
Andaman and Nicobar Islands,India,Limestone Caves,natural feature,high,All,"sightseeing, photography",-17.7627609,178.4061134,,
Madhya Pradesh,India,Madhya Pradesh Tribal Museum,museum,medium,All,"sightseeing, photography",24.8572546,79.9244869,,
